no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,11.14672,1.39%,51.099297,2.515193,0.10%,51.505559,22.787149,60.06%,19.549401,2.330728,0.75%,49.991341,5.752868,1.24%,48.114698
120-240,18.19259,1.92%,50.776377,4.972571,0.50%,51.863443,63.570843,79.05%,10.127006,6.412305,19.17%,40.884134,15.288233,0.63%,48.941732
240-360,33.219544,40.68%,31.049572,2.823613,0.00%,52.958478,138.345528,92.20%,3.663171,2.116941,7.92%,47.672747,12.999139,1.02%,48.884064
360-480,90.628984,82.92%,8.995492,6.8859,0.01%,52.468663,127.551323,89.20%,5.141616,8.288466,35.58%,32.673262,19.360787,0.73%,48.309439
480-600,,,,,,,,,,,,,,,
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
